"Symbol","Currency conversion","1-12-2006","1-1-2007","1-2-2007","1-3-2007","1-4-2007","1-5-2007","1-6-2007","1-7-2007","1-8-2007","1-9-2007","1-10-2007","1-11-2007","1-12-2007","1-1-2008","1-2-2008","1-3-2008","1-4-2008","1-5-2008","1-6-2008","1-7-2008","1-8-2008","1-9-2008","1-10-2008","1-11-2008","1-12-2008","1-1-2009","1-2-2009","1-3-2009","1-4-2009","1-5-2009","1-6-2009","1-7-2009","1-8-2009","1-9-2009","1-10-2009","1-11-2009","1-12-2009","1-1-2010","1-2-2010","1-3-2010","1-4-2010","1-5-2010","1-6-2010","1-7-2010","1-8-2010","1-9-2010","1-10-2010","1-11-2010","1-12-2010","1-1-2011","1-2-2011","1-3-2011","1-4-2011","1-5-2011","1-6-2011","1-7-2011","1-8-2011","1-9-2011","1-10-2011","1-11-2011","1-12-2011","1-1-2012","1-2-2012","1-3-2012","1-4-2012","1-5-2012","1-6-2012","1-7-2012","1-8-2012","1-9-2012","1-10-2012","1-11-2012","1-12-2012","1-1-2013","1-2-2013","1-3-2013","1-4-2013","1-5-2013","1-6-2013","1-7-2013","1-8-2013","1-9-2013","1-10-2013","1-11-2013","1-12-2013","1-1-2014","1-2-2014","1-3-2014","1-4-2014","1-5-2014","1-6-2014","1-7-2014","1-8-2014","1-9-2014","1-10-2014","1-11-2014","1-12-2014","1-1-2015","1-2-2015","1-3-2015","1-4-2015","1-5-2015","1-6-2015","1-7-2015","1-8-2015","1-9-2015","1-10-2015","1-11-2015","1-12-2015","1-1-2016","1-2-2016","1-3-2016","1-4-2016","1-5-2016","1-6-2016","1-7-2016","1-8-2016","1-9-2016","1-10-2016","1-11-2016"
"TWD","US Dollar / Taiwan Dollar FX Spot Rate","32.265","32.5496","32.94","32.95","33.07","33.311","33.038","32.75","32.83","32.999","32.58","32.35","32.288","32.426","32.15","30.89","30.36","30.475","30.355","30.375","30.635","31.47","32.13","32.95","33.2","32.776","33.77","34.98","33.9","33.144","32.66","32.84","32.72","32.9","31.98","32.51","32.13","31.95","31.98","32.068","31.73","31.335","31.983","32.12","31.98","32.04","31.31","30.58","30.47","29.206","29.03","29.745","29.33","28.67","28.66","28.685","28.805","28.975","30.575","29.92","30.31","30.28","29.525","29.355","29.45","29.135","29.8","29.81","29.938","29.87","29.332","29.203","29.065","29.03","29.53","29.62","29.815","29.47","29.955","29.973","29.986","29.91","29.56","29.42","29.58","29.815","30.315","30.325","30.47","30.19","30.04","29.861","30.047","29.873","30.421","30.432","30.962","31.62","31.695","31.459","31.242","30.625","30.79","30.871","31.668","32.494","32.91","32.432","32.63","32.815","33.515","33.235","32.169","32.28","32.583","32.196","31.83","31.753","31.315","31.514"
"CNY","US Dollar / Chinese Yuan FX Spot Rate","7.8322","7.8135","7.759","7.746","7.7291","7.7015","7.6456","7.6085","7.5645","7.5485","7.5055","7.46","7.4086","7.296","7.181","7.1015","7.0116","6.997","6.94","6.8525","6.8308","6.8355","6.8429","6.8335","6.832","6.8305","6.843","6.838","6.8315","6.8225","6.825","6.8308","6.8305","6.8303","6.826","6.8269","6.8271","6.8285","6.8261","6.8253","6.8252","6.8245","6.827","6.7805","6.7735","6.807","6.6895","6.6695","6.6669","6.5895","6.5995","6.565","6.5475","6.4895","6.4775","6.463","6.436","6.377","6.3745","6.3535","6.3789","6.2935","6.3075","6.2935","6.2975","6.3089","6.3685","6.3533","6.361","6.3477","6.284","6.2372","6.2278","6.2303","6.2211","6.2215","6.2106","6.1649","6.135","6.1338","6.1289","6.1193","6.12","6.0945","6.0924","6.051","6.0622","6.1442","6.2164","6.252","6.2479","6.203","6.1737","6.1437","6.1385","6.1166","6.1429","6.2061","6.2495","6.2728","6.1995","6.2028","6.1974","6.2","6.2094","6.376","6.3559","6.3187","6.3964","6.4937","6.5738","6.5438","6.4594","6.472","6.5837","6.6459","6.629","6.6776","6.6678","6.7735"
"HKD","US Dollar / Hong Kong Dollar FX Spot Rate","7.7773","7.778","7.8088","7.8129","7.8134","7.8221","7.8073","7.8172","7.826","7.797","7.7725","7.7502","7.7859","7.7995","7.7966","7.7805","7.7827","7.7929","7.8042","7.7972","7.8012","7.8046","7.7664","7.7507","7.7502","7.7496","7.7538","7.7545","7.7495","7.7495","7.7513","7.7495","7.7495","7.7504","7.7495","7.7495","7.7496","7.7544","7.765","7.762","7.7642","7.7646","7.786","7.7881","7.7662","7.7795","7.7599","7.7529","7.7652","7.7728","7.7967","7.7874","7.779","7.7658","7.777","7.7822","7.7934","7.7855","7.788","7.7683","7.7674","7.7665","7.7547","7.7559","7.7636","7.7577","7.7624","7.7567","7.7539","7.7553","7.7536","7.7498","7.75","7.7498","7.7548","7.755","7.762","7.7596","7.7633","7.756","7.7555","7.7547","7.7558","7.7531","7.7525","7.7538","7.763","7.76","7.7565","7.7526","7.752","7.7503","7.7498","7.7501","7.7648","7.7546","7.7545","7.7539","7.752","7.754","7.7523","7.7499","7.752","7.751","7.7507","7.7495","7.75","7.75","7.7525","7.7503","7.7819","7.7769","7.7568","7.7572","7.7708","7.759","7.7571","7.7564","7.7556","7.7545"
"CLP","US Dollar / Chilean Peso FX Spot Rate","525.9","531","544.65","539.1","539.5","525.35","525.5","527.3","521.3","523.6","510.75","492.5","505.7","497.7","464.1","454.4","436.85","461.9","480.2","524.4","504","512.45","552.1","668","660.3","636.5","616.25","596","582.05","583.5","564.5","533","540.3","553","549","530","495.8","504.3","523.5","524.5","524.5","518.7","530","545.8","517.5","502.8","483.5","492.75","485.5","466.3","481.5","474.9","477","460.5","465.5","466.6","457.25","462.3","528.5","489.75","515","518.7","491.15","479.7","487.95","484.6","516.25","500.3","482.3","479.82","474.25","480.7","480.5","478.26","470.85","473.5","471.4","470.85","501","507.3","513.1","510.1","504.32","512.15","532.35","526.25","555.42","558.42","548.22","564","549.28","552.3","571.78","586.26","597.8","574.82","607.94","606.4","632.83","616.97","623.9","611.4","617.7","639.08","674","692.57","695.6","691","710.2","709.3","713.1","694.6","669.4","660.75","692.07","661.4","654.84","680.09","657.55","652.4"
"PLN","US Dollar / Polish Zloty FX Spot Rate","2.878","2.9026","2.9956","2.9514","2.8886","2.7764","2.832","2.779","2.7729","2.8018","2.6386","2.4991","2.4654","2.4704","2.421","2.3186","2.2287","2.2075","2.1674","2.1268","2.0588","2.2636","2.4019","2.7701","2.97","2.96","3.4816","3.683","3.502","3.3467","3.1733","3.1699","2.9021","2.8572","2.872","2.8885","2.7723","2.8599","2.9117","2.8936","2.8556","2.9364","3.2975","3.3876","3.0668","3.1465","2.9161","2.8366","3.0963","2.962","2.8713","2.8658","2.8377","2.648","2.7414","2.7418","2.7838","2.8735","3.3161","3.1706","3.3514","3.4445","3.2217","3.0945","3.0982","3.1495","3.5491","3.3258","3.3447","3.3088","3.1947","3.1922","3.1491","3.0848","3.0888","3.1762","3.255","3.1601","3.2809","3.322","3.1945","3.2195","3.1194","3.0792","3.0891","3.0188","3.1454","3.031","3.0263","3.0325","3.029","3.0373","3.119","3.2019","3.309","3.3677","3.352","3.5415","3.704","3.701","3.7959","3.5988","3.7426","3.7609","3.773","3.7687","3.7954","3.8625","4.0389","3.9233","4.0816","3.9943","3.7244","3.8216","3.939","3.9428","3.892","3.9054","3.8239","3.9207"
"PHP","US Dollar / Philippine Peso FX Spot Rate","49.62","48.95","48.81","48.49","48.2","47.53","46.25","46.22","45.47","46.44","44.98","43.25","42.47","41.2","40.46","40.6","41.71","42.21","43.73","44.88","44.2","46.14","46.8","48.8","48.85","47.5","47.52","48.69","48.4","48","47.26","48.15","47.9","48.88","47.15","47.71","47.24","46.23","46.6","46.15","45.16","44.48","46.35","46.5","45.515","45.355","43.89","43.005","44.015","43.68","44.1","43.575","43.4","42.75","43.21","43.3","41.95","42.42","43.84","42.86","43.37","43.84","42.84","42.79","42.83","42.175","43.49","41.95","41.73","42.06","41.77","41.185","40.89","41.05","40.675","40.645","40.79","41.135","42.27","43.19","43.42","44.58","43.45","43.27","43.72","44.13","45.31","44.73","44.76","44.48","43.8","43.65","43.63","43.641","44.95","44.95","44.94","44.87","44.13","44.1","44.65","44.59","44.51","45.125","45.56","46.73","46.72","46.753","47.15","46.89","47.61","47.41","45.94","46.98","46.7","47.072","47.095","46.59","48.37","48.435"
"SEK","US Dollar / Swedish Krona FX Spot Rate","6.8437","6.8339","6.9473","6.9913","6.9743","6.696","6.9126","6.8333","6.7301","6.8844","6.4321","6.3436","6.3858","6.4666","6.3678","6.1586","5.946","5.9772","5.9955","6.013","6.0455","6.436","6.8991","7.7318","8.07","7.8345","8.346","9.0631","8.2479","8.0565","7.565","7.7051","7.171","7.1181","6.9659","7.0934","6.9732","7.1501","7.385","7.107","7.2133","7.2081","7.8116","7.771","7.2024","7.3773","6.741","6.64","7.0237","6.7191","6.4485","6.3212","6.3091","6.0297","6.167","6.3205","6.2789","6.3338","6.9001","6.5002","6.7626","6.8768","6.7971","6.6162","6.5889","6.7149","7.2697","6.9005","6.7926","6.618","6.5576","6.633","6.6531","6.4999","6.361","6.4638","6.514","6.4794","6.611","6.69","6.5145","6.615","6.4294","6.4797","6.552","6.435","6.545","6.408","6.4707","6.5011","6.677","6.6826","6.8962","6.9863","7.2115","7.392","7.4466","7.793","8.277","8.333","8.6252","8.323","8.516","8.2827","8.6204","8.4702","8.3672","8.5197","8.726","8.4425","8.5731","8.5658","8.1161","8.0279","8.3312","8.4536","8.5455","8.5639","8.573","9.0299"
"LKR","US Dollar / Sri Lanka Rupee FX Spot Rate","108.07","107.35","108.5","108.75","108.6","110.8","110.83","111.25","111.74","112.97","113.45","111.05","110.45","108.74","107.7","107.8","107.84","107.8","107.88","107.67","107.55","107.85","108.1","110","109.98","112.9","113.98","114.25","115.8","120","114.85","114.9","114.9","114.79","114.8","114.78","114.4","114.3","114.6","114.5","113.85","113.85","113.75","113.5","112.7","112.75","111.98","111.64","111.18","110.85","111","110.72","110.35","109.6","109.65","109.45","109.4","109.85","110.18","110.15","113.87","113.85","113.85","121.5","127.85","129.21","131.8","132.86","131.5","132.2","129","130.1","129.75","127.7","126.2","127.4","126.75","126.6","126.45","130.3","131.5","132.8","131.95","130.8","131.15","130.7","130.7","130.5","130.7","130.56","130.3","130.28","130.18","130.19","130.4","130.8","131.4","131.15","132.2","132.9","133.1","133.1","133.9","133.8","133.6","134.4","141.25","140.7","143.2","144.1","144","144.4","145.5","145.43","147.8","145.5","145.5","145.55","146.25","147.5"
"TRY","US Dollar /  Turkish Lira FX Spot Rate","1.45","1.4148","1.406","1.4125","1.388","1.37","1.3125","1.308","1.301","1.2977","1.2035","1.1631","1.1818","1.1655","1.1676","1.2211","1.3308","1.2715","1.219","1.2227","1.1595","1.182","1.271","1.51","1.569","1.54","1.644","1.7018","1.6635","1.5949","1.5297","1.5393","1.4715","1.4995","1.4826","1.4998","1.5271","1.495","1.4925","1.5461","1.5126","1.4833","1.5714","1.5807","1.5007","1.5207","1.4448","1.4293","1.5038","1.5365","1.6032","1.598","1.5442","1.5198","1.5929","1.6214","1.6893","1.7135","1.856","1.7697","1.8274","1.8817","1.7746","1.7489","1.7789","1.7556","1.8656","1.8045","1.794","1.8151","1.7962","1.7916","1.7847","1.7817","1.7569","1.7979","1.8091","1.791","1.8773","1.9283","1.9325","2.0341","2.018","1.9942","2.0179","2.143","2.2531","2.2004","2.138","2.111","2.0959","2.1184","2.1415","2.1598","2.2777","2.2169","2.2216","2.3355","2.4426","2.5107","2.597","2.6708","2.6598","2.6807","2.7662","2.9134","3.0244","2.9144","2.9126","2.9167","2.9551","2.963","2.8155","2.7939","2.9475","2.8756","2.9926","2.9565","3.001","3.0928"
"THB","US Dollar/Thai Baht FX Spot Rate","35.82","35.42","34.65","33.9","34.95","32.5","34.62","34.51","33.75","34.29","31.65","33.93","33.82","29.9","31.3","31.2","31.45","31.64","32.41","33.38","33.48","34.2","33.8","35","35.51","34.71","34.95","36.17","35.46","35.27","34.27","34.03","34.01","33.99","33.4","33.4","33.21","33.34","33.15","32.98","32.33","32.33","32.51","32.38","32.23","31.27","30.3","29.91","30.16","30.05","30.87","30.59","30.24","29.85","30.28","30.69","29.74","29.92","31.12","30.69","30.83","31.47","31","30.45","30.75","30.7","31.81","31.55","31.45","31.18","30.79","30.66","30.67","30.59","29.81","29.74","29.23","29.23","30.34","31.06","31.24","32.13","31.22","31.16","32.2","32.68","32.97","32.51","32.39","32.33","32.81","32.4","32.17","31.91","32.42","32.56","32.92","32.92","32.73","32.39","32.53","33.01","33.66","33.78","34.97","35.83","36.34","35.62","35.8","36","35.68","35.63","35.13","34.91","35.77","35.12","34.77","34.6","34.6","35.02"
